Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
    2568   0.0%  99.7%     2568   0.0% include_once /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/EntityManagerInterface.php
    2536   0.0%  99.7%     2536   0.0% include_once /var/www/html/vendor/symfony/framework-bundle/Routing/Router.php
    2408   0.0%  99.7%     2408   0.0% SplFileInfo::getFilename
    2400   0.0%  99.7%     2400   0.0% sha1_file
    2280   0.0%  99.7%     2280   0.0% Symfony\Component\VarExporter\Internal\Hydrator::getPropertyScopes
    2256   0.0%  99.7%     2256   0.0% Kiwilan\XmlReader\XmlReader::parseConverter
    2200   0.0%  99.7%     5860   0.0% Kiwilan\Archive\Models\ArchiveStat::make
    2184   0.0%  99.7%   499248   0.4% Doctrine\ORM\Mapping\ClassMetadataFactory::newClassMetadataInstance
    2144   0.0%  99.7%   171980   0.1% Gedmo\Mapping\ExtensionMetadataFactory::getDriver
    2136   0.0%  99.7%   116256   0.1% Doctrine\Common\Annotations\PsrCachedReader::refresh
    2136   0.0%  99.7%    63816   0.1% include /var/www/html/vendor/nyholm/psr7/src/Request.php
    2088   0.0%  99.7%   272632   0.2% Doctrine\ORM\Mapping\ClassMetadataInfo::mapField
    2088   0.0%  99.7%    20220   0.0% Doctrine\ORM\Mapping\ClassMetadataInfo::wakeupReflection
    2072   0.0%  99.7%    36008   0.0% include /var/www/html/vendor/monolog/monolog/src/Monolog/Formatter/LineFormatter.php
    2064   0.0%  99.7%    36280   0.0% include /var/www/html/vendor/doctrine/annotations/lib/Doctrine/Common/Annotations/DocLexer.php
    2064   0.0%  99.7%    66044   0.1% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Internal/Hydration/SimpleObjectHydrator.php
    2064   0.0%  99.7%    88912   0.1% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Proxy/ProxyFactory.php
    2016   0.0%  99.7%     2016   0.0% rawurlencode
    1984   0.0%  99.7%     7980   0.0% include /var/www/html/vendor/doctrine/persistence/src/Persistence/Reflection/TypedNoDefaultReflectionProperty.php
    1944   0.0%  99.7%     1944   0.0% Kiwilan\Ebook\Formats\Epub\Parser\OpfItem::setMeta
    1944   0.0%  99.7%     1944   0.0% array_unshift
    1944   0.0%  99.7%     2296   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/BigIntType.php
    1944   0.0%  99.7%     2320   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/DateTimeType.php
    1944   0.0%  99.7%     1944   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/DateTimeTzType.php
    1944   0.0%  99.7%     1944   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/IntegerType.php
    1944   0.0%  99.7%     1944   0.0% include /var/www/html/vendor/doctrine/dbal/src/Types/SmallIntType.php
    1944   0.0%  99.7%     1944   0.0% include /var/www/html/vendor/monolog/monolog/src/Monolog/DateTimeImmutable.php
    1912   0.0%  99.7%     1912   0.0% App\Repository\BookRepository::Symfony\Component\VarExporter\Internal\{closure}
    1904   0.0%  99.7%     1936   0.0% Kiwilan\Ebook\Formats\EbookModule::toHtml
